                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.78551,                0.38771,                 1.0751,                0.87753,                0.97466,                0.91911,                0.82253,                0.51415,                0.31192,                0.94398,              0.0093466,              0.0093466,              0.0093466
                     68,                0.77374,                0.37412,                 1.0712,                0.94252,                0.98192,                0.99357,                0.88487,                0.58303,                0.30875,                0.97656,              0.0093367,              0.0093367,              0.0093367
                     69,                0.77328,                0.36861,                 1.0695,                0.94443,                0.98109,                0.99439,                0.90088,                0.52794,                0.31702,                0.95187,              0.0093268,              0.0093268,              0.0093268
                     70,                 0.7646,                 0.3852,                 1.0596,                0.86924,                0.98064,                0.93021,                0.83618,                0.49209,                0.30133,                0.93333,              0.0093169,              0.0093169,              0.0093169
                     71,                 0.7714,                0.37875,                 1.0824,                0.87245,                0.96702,                0.90403,                0.81239,                0.46988,                0.28681,                0.92059,               0.009307,               0.009307,               0.009307
                     72,                0.77192,                0.37811,                 1.0738,                 0.8748,                0.97848,                0.90597,                 0.8314,                0.47352,                0.28576,                0.92945,              0.0092971,              0.0092971,              0.0092971
                     73,                0.75923,                0.37291,                 1.0618,                0.86758,                0.98205,                0.90925,                0.81942,                0.51617,                0.28189,                 0.9558,              0.0092872,              0.0092872,              0.0092872
                     74,                0.75785,                0.37763,                 1.0674,                0.93641,                0.91969,                0.97853,                0.85948,                0.53727,                0.33203,                0.95831,              0.0092773,              0.0092773,              0.0092773
                     75,                0.76451,                0.38093,                 1.0712,                0.82765,                0.97127,                0.97295,                0.87305,                0.53826,                0.32922,                0.97472,              0.0092674,              0.0092674,              0.0092674
                     76,                0.76808,                0.37461,                 1.0729,                0.90034,                0.96808,                0.91947,                0.82379,                0.49981,                0.32011,                0.94182,              0.0092575,              0.0092575,              0.0092575
                     77,                0.75601,                0.37009,                 1.0618,                0.97061,                0.95718,                0.98292,                0.89236,                0.61279,                0.33307,                0.99909,              0.0092476,              0.0092476,              0.0092476
                     78,                0.75549,                0.37013,                 1.0616,                0.89765,                0.97216,                0.91988,                0.83987,                0.47977,                0.29053,                0.92741,              0.0092377,              0.0092377,              0.0092377
                     79,                0.74886,                0.36763,                 1.0704,                0.91824,                0.95877,                0.91709,                0.81343,                0.58208,                0.35381,                0.98329,              0.0092278,              0.0092278,              0.0092278
                     80,                0.74097,                0.37272,                  1.055,                0.91937,                0.99066,                0.99367,                 0.8913,                0.54837,                0.28527,                0.96635,              0.0092179,              0.0092179,              0.0092179
                     81,                0.74495,                0.37508,                 1.0635,                0.89533,                 0.9667,                0.98545,                 0.8966,                0.44609,                0.29915,                0.91919,               0.009208,               0.009208,               0.009208
                     82,                0.74897,                0.37175,                  1.068,                0.88614,                0.97003,                0.97736,                0.87945,                0.49625,                 0.3129,                 0.9422,              0.0091981,              0.0091981,              0.0091981
                     83,                0.73085,                 0.3616,                 1.0554,                0.95485,                0.93372,                0.98172,                0.89038,                0.45634,                0.31236,                0.90448,              0.0091882,              0.0091882,              0.0091882
                     84,                0.73633,                0.36712,                 1.0674,                0.95352,                0.98466,                0.99167,                0.89728,                 0.4363,                0.25114,                0.90554,              0.0091783,              0.0091783,              0.0091783
                     85,                0.74714,                0.36558,                 1.0589,                0.88716,                0.94569,                0.91085,                0.83377,                0.46388,                0.31603,                0.92898,              0.0091684,              0.0091684,              0.0091684
                     86,                0.74228,                0.36252,                 1.0577,                0.90689,                0.94085,                0.91059,                0.83252,                0.46574,                0.31628,                0.92811,              0.0091585,              0.0091585,              0.0091585
                     87,                0.73783,                0.36498,                 1.0553,                0.87253,                 0.9639,                0.92339,                0.83294,                0.50658,                0.30925,                0.94086,              0.0091486,              0.0091486,              0.0091486
                     88,                0.73187,                0.36427,                 1.0439,                0.95582,                0.97401,                0.98364,                0.91013,                0.47131,                0.29427,                0.92853,              0.0091387,              0.0091387,              0.0091387
                     89,                0.72259,                0.35327,                 1.0416,                  0.919,                0.92831,                0.97068,                0.88412,                0.46947,                0.32367,                0.92557,              0.0091288,              0.0091288,              0.0091288
                     90,                0.72472,                0.36206,                 1.0452,                0.85561,                0.96471,                 0.8953,                0.83836,                0.40544,                0.27544,                0.89293,              0.0091189,              0.0091189,              0.0091189
                     91,                0.72608,                0.35819,                 1.0507,                0.90352,                0.96586,                0.92027,                0.85147,                0.45321,                0.28648,                0.92308,               0.009109,               0.009109,               0.009109
                     92,                0.73023,                0.36613,                 1.0511,                0.90312,                0.95733,                0.91803,                0.83796,                0.42388,                0.28211,                0.90166,              0.0090991,              0.0090991,              0.0090991
                     93,                0.73089,                0.35388,                  1.055,                0.93865,                0.98128,                0.99281,                0.87521,                0.56781,                0.29131,                0.96684,              0.0090892,              0.0090892,              0.0090892
                     94,                0.71338,                0.34864,                 1.0445,                0.92136,                0.97483,                0.98846,                0.90903,                  0.489,                0.27881,                0.93752,              0.0090793,              0.0090793,              0.0090793
                     95,                0.72886,                0.35561,                 1.0497,                0.94919,                0.96224,                0.97892,                0.92563,                 0.3876,                0.27923,                0.88788,              0.0090694,              0.0090694,              0.0090694
                     96,                0.72885,                0.36076,                 1.0547,                0.91547,                0.95228,                 0.9832,                0.91386,                0.46669,                0.31655,                0.92266,              0.0090595,              0.0090595,              0.0090595
                     97,                0.70573,                0.34404,                 1.0458,                0.91534,                0.94793,                0.91147,                 0.8273,                0.47439,                0.31385,                0.91905,              0.0090496,              0.0090496,              0.0090496
                     98,                 0.7186,                0.35804,                 1.0512,                0.85442,                0.95936,                 0.8972,                0.82138,                0.41179,                0.30127,                0.89765,              0.0090397,              0.0090397,              0.0090397
                     99,                0.71577,                0.35457,                 1.0423,                0.87918,                0.97705,                0.92049,                0.82534,                0.53633,                0.31078,                0.97675,              0.0090298,              0.0090298,              0.0090298
                    100,                0.72258,                0.35597,                 1.0475,                0.89377,                0.97806,                0.92163,                0.83694,                0.46808,                 0.2765,                0.91943,              0.0090199,              0.0090199,              0.0090199
                    101,                0.70319,                0.34991,                 1.0375,                 0.8446,                0.98522,                0.90276,                0.79886,                0.53594,                 0.2943,                0.96871,                0.00901,                0.00901,                0.00901
                    102,                0.69913,                0.34783,                 1.0326,                0.87139,                0.97542,                0.90424,                0.81979,                  0.469,                 0.2956,                0.92916,              0.0090001,              0.0090001,              0.0090001
                    103,                0.72789,                0.36284,                 1.0509,                0.87124,                0.96605,                0.93103,                0.86712,                0.42671,                0.27771,                0.91191,              0.0089902,              0.0089902,              0.0089902
                    104,                0.70966,                0.35034,                 1.0428,                0.87609,                0.96798,                0.89903,                0.83496,                0.42885,                0.28376,                0.90936,              0.0089803,              0.0089803,              0.0089803
                    105,                0.71137,                0.35101,                 1.0477,                0.89349,                0.96708,                0.97991,                0.92396,                0.40248,                0.27279,                0.88856,              0.0089704,              0.0089704,              0.0089704
                    106,                0.71515,                0.35294,                 1.0409,                0.89622,                0.97293,                0.91588,                0.82753,                0.45382,                0.27244,                0.91205,              0.0089605,              0.0089605,              0.0089605
                    107,                0.68888,                0.34084,                 1.0273,                0.91441,                0.97042,                 0.9821,                0.90864,                0.41217,                0.26176,                0.88868,              0.0089506,              0.0089506,              0.0089506
                    108,                0.70251,                0.33845,                 1.0323,                0.91974,                0.96159,                 0.9752,                0.89823,                0.38844,                0.27933,                0.88056,              0.0089407,              0.0089407,              0.0089407
                    109,                0.69281,                0.35267,                 1.0356,                0.86028,                0.98798,                0.89791,                0.82503,                0.39091,                0.25687,                0.88087,              0.0089308,              0.0089308,              0.0089308
                    110,                0.70672,                0.35305,                 1.0426,                 0.8219,                0.97671,                0.88581,                0.80436,                0.46025,                0.30319,                0.91182,              0.0089209,              0.0089209,              0.0089209
                    111,                0.70667,                0.35542,                 1.0424,                0.88551,                0.96584,                0.98276,                0.91464,                0.42732,                0.28156,                0.90856,               0.008911,               0.008911,               0.008911
                    112,                0.71127,                0.35285,                 1.0448,                0.87193,                0.97983,                 0.9928,                0.94198,                0.40013,                0.27598,                0.88843,              0.0089011,              0.0089011,              0.0089011
                    113,                0.69702,                 0.3469,                 1.0247,                0.83261,                0.99107,                0.90554,                0.84092,                0.40262,                0.25386,                 0.8877,              0.0088912,              0.0088912,              0.0088912
