                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.0447,                0.48658,                0.84612,                0.92744,                0.97309,                0.98974,                0.70685,                 1.0965,                0.50744,                0.84323,              0.0006419,              0.0006419,              0.0006419
                    104,                 1.0571,                0.48857,                0.84736,                0.91151,                0.92181,                0.96739,                0.70041,                 1.0363,                0.48116,                0.83492,             0.00064119,             0.00064119,             0.00064119
                    105,                 1.0521,                0.49515,                0.84667,                0.97122,                0.84927,                0.94802,                  0.691,                 1.0802,                0.49212,                0.83673,             0.00064049,             0.00064049,             0.00064049
                    106,                 1.0468,                0.48686,                0.84312,                0.88267,                0.98671,                0.96934,                0.71205,                  1.093,                0.49045,                  0.841,             0.00063978,             0.00063978,             0.00063978
                    107,                 1.0742,                 0.4909,                0.85205,                0.88576,                0.98863,                0.96791,                0.67797,                 1.1166,                0.48944,                0.83985,             0.00063907,             0.00063907,             0.00063907
                    108,                 1.0627,                0.49112,                0.84106,                0.84603,                0.96564,                 0.9455,                0.67975,                 1.1223,                 0.5131,                 0.8444,             0.00063837,             0.00063837,             0.00063837
                    109,                 1.0557,                0.48406,                0.84625,                0.86867,                0.96219,                0.96647,                0.69907,                 1.0622,                0.48102,                0.83256,             0.00063766,             0.00063766,             0.00063766
                    110,                 1.0433,                0.47902,                0.84452,                 0.8944,                0.91256,                0.92504,                0.65042,                 1.0933,                0.49625,                0.83643,             0.00063695,             0.00063695,             0.00063695
                    111,                 1.0682,                0.48685,                0.84932,                0.92846,                0.90333,                0.95437,                0.70068,                 1.0842,                0.49122,                0.83552,             0.00063625,             0.00063625,             0.00063625
                    112,                 1.0678,                0.48535,                0.84551,                0.95726,                0.91453,                0.94732,                 0.7057,                 1.0648,                 0.4744,                0.83328,             0.00063554,             0.00063554,             0.00063554
                    113,                 1.0633,                0.48387,                0.84995,                0.94877,                0.90236,                0.96013,                0.71797,                 1.0575,                0.48623,                0.83396,             0.00063483,             0.00063483,             0.00063483
                    114,                 1.0549,                0.48219,                0.84222,                0.92595,                0.91725,                0.95321,                0.70806,                 1.1093,                0.49347,                0.84032,             0.00063412,             0.00063412,             0.00063412
                    115,                 1.0326,                 0.4734,                0.84583,                0.92684,                0.92316,                0.94915,                0.64333,                 1.1305,                0.50165,                0.84314,             0.00063342,             0.00063342,             0.00063342
                    116,                 1.0565,                 0.4864,                 0.8503,                0.86427,                0.97885,                 0.9658,                0.65332,                 1.0716,                0.49901,                0.83461,             0.00063271,             0.00063271,             0.00063271
                    117,                 1.0605,                0.48358,                0.84036,                0.87446,                0.97163,                0.96797,                0.68563,                 1.0727,                0.48768,                0.83448,               0.000632,               0.000632,               0.000632
                    118,                  1.029,                0.47594,                0.84254,                0.89303,                0.97428,                0.94681,                0.69453,                 1.0391,                0.47378,                 0.8304,              0.0006313,              0.0006313,              0.0006313
                    119,                 1.0381,                0.47641,                0.84702,                0.96504,                0.90997,                0.96961,                0.69586,                  1.109,                 0.4834,                0.83692,             0.00063059,             0.00063059,             0.00063059
                    120,                 1.0272,                 0.4708,                0.83583,                0.89341,                0.91932,                0.95794,                 0.6824,                 1.0912,                0.48287,                0.83845,             0.00062988,             0.00062988,             0.00062988
                    121,                   1.06,                0.49378,                0.84527,                0.89731,                0.91251,                0.95667,                0.68691,                 1.0555,                0.48218,                0.83633,             0.00062918,             0.00062918,             0.00062918
                    122,                 1.0401,                0.48264,                0.83631,                0.96675,                0.85106,                 0.9013,                0.68161,                 1.0578,                0.49101,                0.83032,             0.00062847,             0.00062847,             0.00062847
                    123,                 1.0323,                 0.4749,                0.84361,                 0.8071,                0.91783,                0.94323,                0.69497,                 1.0715,                0.49812,                0.83492,             0.00062776,             0.00062776,             0.00062776
                    124,                 1.0335,                0.48307,                0.84194,                0.84536,                0.91932,                0.91472,                  0.652,                 1.1078,                0.49239,                0.84103,             0.00062706,             0.00062706,             0.00062706
                    125,                 1.0318,                0.47189,                0.85049,                0.96833,                0.85553,                0.91765,                0.66082,                  1.096,                0.47815,                 0.8393,             0.00062635,             0.00062635,             0.00062635
                    126,                 1.0084,                0.46246,                0.84114,                0.87186,                0.91803,                0.92741,                0.68198,                 1.1179,                0.48549,                0.84307,             0.00062564,             0.00062564,             0.00062564
                    127,                 1.0142,                0.47136,                0.84226,                0.81919,                 0.9912,                0.92584,                 0.6388,                 1.1665,                0.50205,                0.84672,             0.00062494,             0.00062494,             0.00062494
                    128,                 1.0306,                0.46656,                0.84417,                0.82745,                0.91183,                0.94289,                0.66843,                 1.1342,                0.49779,                0.84251,             0.00062423,             0.00062423,             0.00062423
                    129,                 1.0216,                0.46945,                0.83662,                0.81476,                0.98773,                0.92346,                0.65147,                 1.1485,                 0.4988,                0.84034,             0.00062352,             0.00062352,             0.00062352
                    130,                  1.021,                0.46762,                0.84169,                0.88432,                 0.9698,                0.92367,                0.68931,                 1.0965,                0.48466,                0.84089,             0.00062282,             0.00062282,             0.00062282
